[2025-10-31 14:11:17.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=867
[2025-10-31 14:11:17.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:17.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:17.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=867
[2025-10-31 14:11:17.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:17.722] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=867
[2025-10-31 14:11:17.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:17.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=867
[2025-10-31 14:11:17.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:17.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:17.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:17.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=871
[2025-10-31 14:11:18.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=872
[2025-10-31 14:11:18.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
