# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
2.057670e+02	4.984590e-02	1.006975e+00
2.067176e+02	5.025040e-02	1.006975e+00
2.076545e+02	5.065490e-02	1.006975e+00
2.086011e+02	5.105930e-02	1.006975e+00
2.095493e+02	5.146380e-02	1.006975e+00
2.104864e+02	5.186830e-02	1.006975e+00
2.114361e+02	5.227280e-02	1.006975e+00
2.123791e+02	5.267720e-02	1.006975e+00
2.133191e+02	5.308170e-02	1.006975e+00
2.142709e+02	5.348620e-02	1.006975e+00
2.152008e+02	5.389070e-02	1.006975e+00
2.161377e+02	5.429510e-02	1.006975e+00
2.170589e+02	5.469960e-02	1.006975e+00
2.180057e+02	5.510410e-02	1.006975e+00
2.189381e+02	5.550860e-02	1.006975e+00
2.198614e+02	5.591300e-02	1.006975e+00
2.208096e+02	5.631750e-02	1.006975e+00
2.217375e+02	5.672200e-02	1.006975e+00
2.226665e+02	5.712650e-02	1.006975e+00
2.236126e+02	5.753090e-02	1.006975e+00
2.245361e+02	5.793540e-02	1.006975e+00
2.254748e+02	5.833990e-02	1.006975e+00
2.263500e+02	5.874430e-02	1.006975e+00
2.272050e+02	5.914880e-02	1.006975e+00
2.280780e+02	5.955330e-02	1.006975e+00
2.289600e+02	5.995780e-02	1.006975e+00
2.298983e+02	6.036220e-02	1.006975e+00
2.307780e+02	6.076670e-02	1.006975e+00
2.316667e+02	6.117120e-02	1.006975e+00
2.326028e+02	6.157570e-02	1.006975e+00
2.334780e+02	6.198010e-02	1.006975e+00
2.343713e+02	6.238460e-02	1.006975e+00
2.353073e+02	6.278910e-02	1.006975e+00
2.361780e+02	6.319360e-02	1.006975e+00
2.370780e+02	6.359800e-02	1.006975e+00
2.379060e+02	6.400250e-02	1.006975e+00
2.386035e+02	6.440700e-02	1.006975e+00
2.393347e+02	6.481150e-02	1.006975e+00
2.401358e+02	6.521590e-02	1.006975e+00
2.408783e+02	6.561750e-02	1.006975e+00
2.415757e+02	6.602490e-02	1.006975e+00
2.423430e+02	6.642940e-02	1.006975e+00
2.431418e+02	6.683380e-02	1.006975e+00
2.438550e+02	6.723830e-02	1.006975e+00
2.445863e+02	6.764280e-02	1.006975e+00
2.453963e+02	6.804730e-02	1.006975e+00
2.461500e+02	6.845170e-02	1.006975e+00
2.468475e+02	6.885620e-02	1.006975e+00
2.476170e+02	6.926070e-02	1.006975e+00
2.484135e+02	6.966520e-02	1.006975e+00
2.491380e+02	7.006960e-02	1.006975e+00
2.498017e+02	7.047410e-02	1.006975e+00
2.504498e+02	7.087860e-02	1.006975e+00
2.510955e+02	7.128310e-02	1.006975e+00
2.517435e+02	7.168750e-02	1.006975e+00
2.523915e+02	7.209200e-02	1.006975e+00
2.530913e+02	7.249650e-02	1.006975e+00
2.537933e+02	7.290100e-02	1.006975e+00
2.544930e+02	7.330540e-02	1.006975e+00
2.551838e+02	7.370990e-02	1.006975e+00
2.558723e+02	7.411440e-02	1.006975e+00
2.565720e+02	7.451890e-02	1.006975e+00
2.573235e+02	7.492330e-02	1.006975e+00
2.580007e+02	7.532780e-02	1.006975e+00
2.586803e+02	7.573230e-02	1.006975e+00
2.593913e+02	7.613680e-02	1.006975e+00
2.601023e+02	7.654120e-02	1.006975e+00
2.607705e+02	7.694570e-02	1.006975e+00
2.614365e+02	7.735020e-02	1.006975e+00
6.822315e+01	8.440620e-03	1.185426e+00
7.083900e+01	8.710810e-03	1.185426e+00
7.320105e+01	8.993970e-03	1.185426e+00
7.589745e+01	9.398440e-03	1.185426e+00
7.860037e+01	9.802920e-03	1.185426e+00
8.130308e+01	1.012520e-02	1.185426e+00
8.391893e+01	1.044330e-02	1.185426e+00
8.653500e+01	1.078410e-02	1.185426e+00
8.915085e+01	1.114790e-02	1.185426e+00
9.176693e+01	1.153260e-02	1.185426e+00
9.368663e+01	1.182530e-02	1.185426e+00
9.642442e+01	1.222980e-02	1.185426e+00
9.926910e+01	1.263420e-02	1.185426e+00
1.018863e+02	1.303870e-02	1.185426e+00
1.043669e+02	1.344320e-02	1.185426e+00
1.068916e+02	1.384770e-02	1.185426e+00
1.096463e+02	1.425210e-02	1.185426e+00
1.123524e+02	1.465660e-02	1.185426e+00
1.149021e+02	1.506110e-02	1.185426e+00
1.175663e+02	1.546560e-02	1.185426e+00
1.202393e+02	1.587000e-02	1.185426e+00
1.229125e+02	1.627450e-02	1.185426e+00
1.253477e+02	1.667900e-02	1.185426e+00
1.277147e+02	1.708350e-02	1.185426e+00
1.300876e+02	1.748790e-02	1.185426e+00
1.324604e+02	1.789240e-02	1.185426e+00
1.348286e+02	1.829690e-02	1.185426e+00
1.370066e+02	1.870140e-02	1.185426e+00
1.388545e+02	1.902060e-02	1.185426e+00
1.414706e+02	1.947300e-02	1.185426e+00
1.440288e+02	1.991480e-02	1.185426e+00
1.463657e+02	2.031930e-02	1.185426e+00
1.485212e+02	2.072370e-02	1.185426e+00
1.507129e+02	2.112820e-02	1.185426e+00
1.529332e+02	2.153270e-02	1.185426e+00
1.551490e+02	2.193720e-02	1.185426e+00
1.571663e+02	2.230280e-02	1.185426e+00
1.594660e+02	2.274610e-02	1.185426e+00
1.616395e+02	2.315060e-02	1.185426e+00
1.638513e+02	2.355510e-02	1.185426e+00
1.660633e+02	2.395950e-02	1.185426e+00
1.682669e+02	2.436400e-02	1.185426e+00
1.702463e+02	2.474490e-02	1.185426e+00
1.724020e+02	2.517300e-02	1.185426e+00
1.744580e+02	2.557740e-02	1.185426e+00
1.765213e+02	2.598190e-02	1.185426e+00
1.785757e+02	2.638640e-02	1.185426e+00
1.806480e+02	2.679090e-02	1.185426e+00
1.825702e+02	2.719530e-02	1.185426e+00
1.844498e+02	2.759980e-02	1.185426e+00
1.863304e+02	2.800430e-02	1.185426e+00
1.882087e+02	2.840880e-02	1.185426e+00
1.900883e+02	2.881320e-02	1.185426e+00
1.919374e+02	2.921770e-02	1.185426e+00
1.937900e+02	2.962210e-02	1.185426e+00
1.956958e+02	3.002660e-02	1.185426e+00
1.976011e+02	3.043110e-02	1.185426e+00
1.995068e+02	3.083560e-02	1.185426e+00
2.014119e+02	3.124010e-02	1.185426e+00
2.032729e+02	3.164450e-02	1.185426e+00
2.049226e+02	3.204900e-02	1.185426e+00
2.066404e+02	3.245350e-02	1.185426e+00
2.083581e+02	3.285800e-02	1.185426e+00
2.100749e+02	3.326240e-02	1.185426e+00
2.117934e+02	3.366690e-02	1.185426e+00
2.135111e+02	3.407140e-02	1.185426e+00
2.151936e+02	3.447590e-02	1.185426e+00
2.168462e+02	3.488030e-02	1.185426e+00
2.185200e+02	3.528480e-02	1.185426e+00
2.199499e+02	3.563040e-02	1.185426e+00
2.218675e+02	3.609380e-02	1.185426e+00
2.235413e+02	3.649820e-02	1.185426e+00
2.251823e+02	3.689470e-02	1.185426e+00
2.267978e+02	3.730720e-02	1.185426e+00
2.283660e+02	3.771170e-02	1.185426e+00
2.300040e+02	3.811610e-02	1.185426e+00
2.316420e+02	3.852060e-02	1.185426e+00
2.332800e+02	3.892510e-02	1.185426e+00
2.349180e+02	3.932960e-02	1.185426e+00
2.365560e+02	3.973400e-02	1.185426e+00
2.381445e+02	4.013850e-02	1.185426e+00
2.396115e+02	4.054300e-02	1.185426e+00
2.411527e+02	4.094750e-02	1.185426e+00
2.426962e+02	4.135190e-02	1.185426e+00
2.442398e+02	4.175640e-02	1.185426e+00
2.457832e+02	4.216090e-02	1.185426e+00
2.473245e+02	4.256540e-02	1.185426e+00
2.487262e+02	4.293270e-02	1.185426e+00
2.503237e+02	4.337430e-02	1.185426e+00
2.517683e+02	4.377880e-02	1.185426e+00
2.532398e+02	4.418330e-02	1.185426e+00
2.547113e+02	4.458770e-02	1.185426e+00
2.561827e+02	4.499220e-02	1.185426e+00
2.576542e+02	4.539670e-02	1.185426e+00
2.591257e+02	4.580120e-02	1.185426e+00
2.605972e+02	4.620560e-02	1.185426e+00
2.619765e+02	4.661010e-02	1.185426e+00
2.633625e+02	4.701460e-02	1.185426e+00
2.648160e+02	4.741910e-02	1.185426e+00
2.662672e+02	4.782350e-02	1.185426e+00
2.677208e+02	4.822800e-02	1.185426e+00
2.691720e+02	4.863250e-02	1.185426e+00
2.706255e+02	4.903700e-02	1.185426e+00
2.720768e+02	4.944140e-02	1.185426e+00
2.734470e+02	4.984590e-02	1.185426e+00
2.747002e+02	5.025040e-02	1.185426e+00
2.759963e+02	5.065490e-02	1.185426e+00
2.772967e+02	5.105930e-02	1.185426e+00
2.785995e+02	5.146380e-02	1.185426e+00
2.799000e+02	5.186830e-02	1.185426e+00
2.812005e+02	5.227280e-02	1.185426e+00
2.825010e+02	5.267720e-02	1.185426e+00
2.838015e+02	5.308170e-02	1.185426e+00
2.850907e+02	5.348620e-02	1.185426e+00
2.863440e+02	5.389070e-02	1.185426e+00
2.876692e+02	5.429510e-02	1.185426e+00
2.890125e+02	5.469960e-02	1.185426e+00
2.903558e+02	5.510410e-02	1.185426e+00
2.916990e+02	5.550860e-02	1.185426e+00
2.930400e+02	5.591300e-02	1.185426e+00
2.943832e+02	5.631750e-02	1.185426e+00
2.957265e+02	5.672200e-02	1.185426e+00
2.970315e+02	5.712650e-02	1.185426e+00
2.981205e+02	5.753090e-02	1.185426e+00
2.994278e+02	5.793540e-02	1.185426e+00
3.007778e+02	5.833990e-02	1.185426e+00
3.021300e+02	5.874430e-02	1.185426e+00
3.034800e+02	5.914880e-02	1.185426e+00
3.048300e+02	5.955330e-02	1.185426e+00
3.061800e+02	5.995780e-02	1.185426e+00
3.075300e+02	6.036220e-02	1.185426e+00
3.088800e+02	6.076670e-02	1.185426e+00
3.100657e+02	6.117120e-02	1.185426e+00
3.112222e+02	6.157570e-02	1.185426e+00
3.123788e+02	6.198010e-02	1.185426e+00
3.135330e+02	6.238460e-02	1.185426e+00
3.146895e+02	6.278910e-02	1.185426e+00
3.158438e+02	6.319360e-02	1.185426e+00
3.170003e+02	6.359800e-02	1.185426e+00
3.181545e+02	6.400250e-02	1.185426e+00
3.193110e+02	6.440700e-02	1.185426e+00
3.204405e+02	6.481150e-02	1.185426e+00
3.215948e+02	6.521590e-02	1.185426e+00
3.228413e+02	6.562040e-02	1.185426e+00
3.240855e+02	6.602490e-02	1.185426e+00
3.253320e+02	6.642940e-02	1.185426e+00
3.265785e+02	6.683380e-02	1.185426e+00
3.278250e+02	6.723830e-02	1.185426e+00
3.290715e+02	6.764280e-02	1.185426e+00
3.303180e+02	6.804730e-02	1.185426e+00
3.315645e+02	6.845170e-02	1.185426e+00
3.327007e+02	6.885620e-02	1.185426e+00
3.336030e+02	6.926070e-02	1.185426e+00
3.346673e+02	6.966520e-02	1.185426e+00
3.359430e+02	7.006960e-02	1.185426e+00
3.372682e+02	7.047410e-02	1.185426e+00
3.385958e+02	7.087860e-02	1.185426e+00
3.399232e+02	7.128310e-02	1.185426e+00
3.412507e+02	7.168750e-02	1.185426e+00
3.425783e+02	7.209200e-02	1.185426e+00
3.439035e+02	7.249650e-02	1.185426e+00
3.452310e+02	7.290100e-02	1.185426e+00
3.464685e+02	7.330540e-02	1.185426e+00
3.475958e+02	7.370990e-02	1.185426e+00
3.487230e+02	7.411440e-02	1.185426e+00
3.498503e+02	7.451890e-02	1.185426e+00
3.509775e+02	7.492330e-02	1.185426e+00
3.521048e+02	7.532780e-02	1.185426e+00
3.532320e+02	7.573230e-02	1.185426e+00
3.543592e+02	7.613680e-02	1.185426e+00
3.554865e+02	7.654120e-02	1.185426e+00
3.566137e+02	7.694570e-02	1.185426e+00
3.576690e+02	7.735020e-02	1.185426e+00
3.587738e+02	7.775470e-02	1.185426e+00
3.599663e+02	7.815910e-02	1.185426e+00
3.611565e+02	7.856360e-02	1.185426e+00
3.623490e+02	7.896810e-02	1.185426e+00
3.635393e+02	7.937260e-02	1.185426e+00
3.647295e+02	7.977700e-02	1.185426e+00
3.659220e+02	8.018150e-02	1.185426e+00
3.671123e+02	8.058600e-02	1.185426e+00
3.683048e+02	8.099050e-02	1.185426e+00
3.694950e+02	8.139490e-02	1.185426e+00
3.704108e+02	8.179940e-02	1.185426e+00
3.714120e+02	8.220390e-02	1.185426e+00
3.725482e+02	8.260840e-02	1.185426e+00
