# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.378218e+02	3.307900e-02	1.632828e+00
3.499875e+02	3.506200e-02	1.632828e+00
3.622613e+02	3.726300e-02	1.632828e+00
3.746070e+02	3.931600e-02	1.632828e+00
3.996855e+02	4.385300e-02	1.632828e+00
4.122990e+02	4.618600e-02	1.632828e+00
1.022882e+02	6.687000e-03	1.632828e+00
4.252298e+02	4.862700e-02	1.632828e+00
4.380840e+02	5.119400e-02	1.632828e+00
4.511295e+02	5.353500e-02	1.632828e+00
4.641728e+02	5.606900e-02	1.632828e+00
4.740637e+02	5.789100e-02	1.632828e+00
4.874602e+02	6.025300e-02	1.632828e+00
5.008455e+02	6.254700e-02	1.632828e+00
5.281245e+02	6.753800e-02	1.632828e+00
1.139276e+02	7.557000e-03	1.632828e+00
1.256191e+02	8.417000e-03	1.632828e+00
1.372432e+02	9.360000e-03	1.632828e+00
1.489410e+02	1.033100e-02	1.632828e+00
1.605712e+02	1.133100e-02	1.632828e+00
1.722492e+02	1.233600e-02	1.632828e+00
6.600150e+01	3.161300e-02	6.513468e-01
7.713428e+01	3.955200e-02	6.513468e-01
8.807243e+01	4.894600e-02	6.513468e-01
6.728175e+01	3.734000e-03	1.751371e+00
7.900155e+01	4.400000e-03	1.751371e+00
1.840502e+02	1.157000e-02	1.751371e+00
1.957045e+02	1.255300e-02	1.751371e+00
2.074025e+02	1.353800e-02	1.751371e+00
2.191057e+02	1.462300e-02	1.751371e+00
2.308815e+02	1.574500e-02	1.751371e+00
2.426017e+02	1.689800e-02	1.751371e+00
2.543648e+02	1.810000e-02	1.751371e+00
2.662065e+02	1.939100e-02	1.751371e+00
2.779380e+02	2.072200e-02	1.751371e+00
2.898202e+02	2.212900e-02	1.751371e+00
9.065790e+01	5.079000e-03	1.751371e+00
3.017677e+02	2.360300e-02	1.751371e+00
3.137962e+02	2.514100e-02	1.751371e+00
3.256785e+02	2.670100e-02	1.751371e+00
3.378330e+02	2.848400e-02	1.751371e+00
3.499425e+02	3.022300e-02	1.751371e+00
3.621420e+02	3.214800e-02	1.751371e+00
3.744090e+02	3.396500e-02	1.751371e+00
3.993030e+02	3.798600e-02	1.751371e+00
4.118063e+02	4.008600e-02	1.751371e+00
1.023439e+02	5.802000e-03	1.751371e+00
4.246087e+02	4.229400e-02	1.751371e+00
4.373325e+02	4.461900e-02	1.751371e+00
4.502475e+02	4.677300e-02	1.751371e+00
4.631513e+02	4.910200e-02	1.751371e+00
4.729207e+02	5.078800e-02	1.751371e+00
4.861597e+02	5.302900e-02	1.751371e+00
4.993853e+02	5.520800e-02	1.751371e+00
5.127862e+02	5.759000e-02	1.751371e+00
5.263155e+02	5.992700e-02	1.751371e+00
